Sci name,ARK or DOI,Object,ID,side,NCBI,Rmax,Rmin,Rmed,L art,# trochlea,Morph_type,Long(mm),Mult,
Equus caballus,ark:/87602/m4/M122806,mvz:mammal specimens:162289,ID 000122806,right,9796,,,,,2,Type 2,310.2,1,ok
Tapirus indicus,ark:/87602/m4/423619,UWBM:http://arctos.database.museum/collection/UWBM:Mamm:UWBM:Mamm:82386,ID 000423619,left,9802,,,,,2,Type 2,279.2,1,ok
Diceros bicornis,ark:/87602/m4/364937,rmca:vert:RG2133,ID 000364937,left,9805,,,,,1,Type I ,37.96,10,ok
Diceros bicornis,ark:/87602/m4/365776,mnhn:zm:AC-1936-644,ID 000365776,left,9805,,,,,1,Type I ,363.5,1,ok
Diceros bicornis,ark:/87602/m4/367251,Mdc:50002040,ID 000367251,left,9805,,,,,1,Type I ,34.86,10,ok
Diceros bicornis,ark:/87602/m4/367352,Mdc:50002046,ID 000367352,left,9805,,,,,1,Type I ,36.65,10,ok
Diceros bicornis,ark:/87602/m4/421099,amnh:mammals:M-81805 ,ID 000421099,right,9805,,,,,1,Type I ,400.3,1,ok
Diceros bicornis,ark:/87602/m4/421149,t AMNH:Mammals:M-27757,ID 000421149,left,9805,,,,,1,Type I ,40.9,10,ok
Diceros bicornis,ark:/87602/m4/421224,AMNH:Mammals:M-113777,ID 000421224,right,9805,,,,,1,Type I ,40.42,10,ok
Diceros bicornis,ark:/87602/m4/421251,AMNH:Mammals:M-113778,ID 000421251,right,9805,,,,,1,Type I ,380.1,1,ok
Ceratotherium simum,ark:/87602/m4/365666,mnhn:zm:MO-2005-297,ID 000365666,right,9807,,,,,1,Type I ,407.3,1,ok
Ceratotherium simum, ark:/87602/m4/421069,amnh:mammals:M-81815,ID 000421069,left,9807,,,,,1,Type I ,46.21,10,ok
Ceratotherium simum , ark:/87602/m4/364703,p-cm:NH.CON.20,ID 000364703,left,9807,,,,,1,Type I ,391.5,1,ok
Ceratotherium simum ,ark:/87602/m4/364758,p-cm:NH.CON.32,ID 000364758,left,9807,,,,,1,Type I ,36.81,10,ok
Ceratotherium simum ,ark:/87602/m4/364783,p-cm:NH.CON.37,ID 000364783,right,9807,,,,,1,Type I ,38.32,10,ok
Ceratotherium simum , ark:/87602/m4/364808,p-cm:NH.CON.40,ID 000364808,left,9807,,,,,1,Type I ,37.95,10,ok
Ceratotherium simum ,ark:/87602/m4/364833,p-cm:NH.CON.110,ID 000364833,left,9807,,,,,1,Type I ,39.26,10,ok
Ceratotherium simum ,ark:/87602/m4/364858,p-cm:NH.CON.112,ID 000364858,left,9807,,,,,1,Type I ,40.66,10,ok
Ceratotherium simum ,ark:/87602/m4/364883,rmca:vert:1985.32-M-0001,ID 000364883,left,9807,,,,,1,Type I ,39.14,10,ok
Ceratotherium simum , ark:/87602/m4/364908,rmca:vert:RG35146,ID 000364908,right,9807,,,,,1,Type I ,41.22,10,ok
Ceratotherium simum ,ark:/87602/m4/420905,amnh:mammals:M-51854,ID 000420905,left,9807,,,,,1,Type I ,40.14,10,ok
Ceratotherium simum ,ark:/87602/m4/420938,amnh:mammals:M-51855,ID 000420938,left,9807,,,,,1,Type I ,42.04,10,ok
Ceratotherium simum ,ark:/87602/m4/420972,amnh:mammals:M-51857,ID 000420972,left,9807,,,,,1,Type I ,39.86,10,ok
Ceratotherium simum ,ark:/87602/m4/421003,amnh:mammals:M-51858,ID 000421003,left,9807,,,,,1,Type I ,41.42,10,ok
Rhinoceros unicornis,ark:/87602/m4/365950,mnhn:zm:AC-1885-734,ID 000365950,left,9809,,,,,1,Type I ,47.58,10,ok
Rhinoceros unicornis,ark:/87602/m4/365984,mnhn:zm:AC-1932-49,ID 000365984,left,9809,,,,,1,Type I ,463,1,ok
Rhinoceros unicornis,ark:/87602/m4/366038,mnhn:zm:AC-1960-59,ID 000366038,left,9809,,,,,1,Type I ,465.8,1,ok
Rhinoceros unicornis,ark:/87602/m4/366056,mnhn:zm:AC-1967-101,ID 000366056,left,9809,,,,,1,Type I ,43.06,10,ok
Rhinoceros unicornis,ark:/87602/m4/421571,AMNH:Mammals:M-35759,ID 000421571,left,9809,,,,,1,Type I ,44.68,10,ok
Rhinoceros unicornis,ark:/87602/m4/421597,AMNH:Mammals:M-54456,ID 000421597,left,9809,,,,,1,Type I ,43.15,10,ok
Orycteropus afer,ark:/87602/m4/446927,AMNH:Mammals:M-119504,ID 000446927,left,9818,,,,,1,Type I ,154.4,1,ok
Camelus dromedarius,ark:/87602/m4/M111892,imnh:r:1007,ID 000111892,left,9838,,,,,1,Type I ,407.6,1,ok
Lama glama,ark:/87602/m4/M120933,imnh:r:2392,ID 000120933,left,9844,,,,,1,Type I ,279.9,1,ok
Lama glama,ark:/87602/m4/M120935,imnh:r:2392,ID 000120935,right,9844,,,,,1,Type I ,276.2,1,ok
Cervus elaphus,ark:/87602/m4/M122050,imnh:r:749,ID 000122050,left,9860,,,,,2,Type 2,245.2,1,ok
Cervus elaphus,ark:/87602/m4/M122158,imnh:r:749,ID 000122158,right,9860,,,,,2,Type 2,246.7,1,ok
Odocoileus hemionus,ark:/87602/m4/M105109,imnh:r:146 ,ID 000105109,left,9872,,,,,2,Type 2,199.3,1,ok
Odocoileus hemionus,ark:/87602/m4/M105187,imnh:r:146 ,ID 000105187,right,9872,,,,,2,Type 2,201.7,1,ok
Odocoileus hemionus,ark:/87602/m4/M122296,imnh:r:2093,ID 000122296,,9872,,,,,2,Type 2,230.1,1,ok
Odocoileus virginianus,ark:/87602/m4/388385,L-rhd:02,ID 000388385,right,9874,,,,,2,Type 2,188,1,ok
Antilocapra americana,ark:/87602/m4/M108322,imnh:r:897 ,ID 000108322,left,9891,,,,,2,Type 2,202.7,1,ok
Giraffa camelopardalis,ark:/87602/m4/M119583,imnh:r:2283,ID 000119583,,9894,,,,,2,Type 2,499.1,1,ok
Giraffa camelopardalis,ark:/87602/m4/M119585,imnh:r:2283,ID 000119585,,9894,,,,,2,Type 2,500.5,1,ok
Ammotragus lervia,ark:/87602/m4/399110,MNHN:ZM:2010-643,ID 000399110,,9899,,,,,2,Type 2,215.7,1,ok
Ammotragus lervia,ark:/87602/m4/399156,MNHN:ZM:AC-1896-439,ID 000399156,,9899,,,,,2,Type 2,236.6,1,ok
Bison bison,ark:/87602/m4/M106144,imnh:r:534,ID 000106144,left,9901,,,,,2,Type 2,378.4,1,ok
Bison bison,ark:/87602/m4/M106236,imnh:r:534,ID 000106236,right,9901,,,,,2,Type 2,378.4,1,ok
Bison bison,ark:/87602/m4/398778,MNHN:ZM:AC-1885-339,ID 000398778,,9901,,,,,2,Type 2,321.2,1,ok
Bison bison,ark:/87602/m4/398820,MNHN:ZM:AC-1902-316,ID 000398820,,9901,,,,,2,Type 2,357.6,1,ok
