Sci name,NCBI,mass inf kg,mass sup kg,Avg mass kg,refMass,Speed max km/hr,refSpeed,stance,Diet
Hippotragus equinus,37186,215.00,300.00,257.50,https://www.gbif.org/,55.98,Christansen_2002_Locomotion in terrestrial mammals,Ungulates,herbivore
Gazella dorcas,37751,15.00,18.00,16.50,Mammals Species,79.98,Christansen_2002_Locomotion in terrestrial mammals,Ungulates,herbivore
Oryx leucoryx,39411,116.00,206.00,161.00,Mammals Species,7.50,Gallach_2015_ Oryx leucoryx,Ungulates,herbivore
Gulo gulo,48420,6.00,18.00,12.00,http://wolverinefoundation.org/,48.00,ADW,Plantigrade,carnivore
Cephalophus silvicultor,50347,45.00,80.00,62.50,ADW,,,Ungulates,herbivore
Castor canadensis,51338,11.00,32.00,21.50,ADW,,,Plantigrade,herbivore
Myrmecobius fasciatus,55782,,,0.48,Iriarte-diaz_2002_differential scaling of locomotor performance in small and large mammals,33.00,Garland_1988_Comparative locomotor performance of marsupial,Plantigrade,carnivore
Tapirus bairdii,56117,150.00,300.00,225.00,ADW,40.00,Garland_1993_Does metatarsal/femur ratio predict maximal running speed,Ungulates,herbivore
Addax nasomaculatus,59515,60.00,125.00,92.50,Mammals Species,,,Ungulates,herbivore
Alcelaphus buselaphus,59517,,,149.97,Christansen_2002_Locomotion in terrestrial mammals,69.98,Christansen_2002_Locomotion in terrestrial mammals,Ungulates,herbivore
Antidorcas marsupialis,59523,33.00,46.00,39.50,ADW,87.90,Christansen_2002_Locomotion in terrestrial mammals,Ungulates,herbivore
Antilope cervicapra,59525,32.00,43.00,37.50,ADW,94.84,Christansen_2002_Locomotion in terrestrial mammals,Ungulates,herbivore
Ourebia ourebi,59536,,,14.49,Christansen_2002_Locomotion in terrestrial mammals,50.00,Christansen_2002_Locomotion in terrestrial mammals,Ungulates,herbivore
Pseudois nayaur,59542,35.00,75.00,55.00,Mammals Species,,,Ungulates,herbivore
Redunca arundinum (Antilope arundinu),59554,39.00,95.00,67.00,https://www.gbif.org/,,,Ungulates,herbivore
Felis margarita,61378,1.40,3.40,2.40,Mammals Species,35.00,Mammals Species,Digitigrade,carnivore
Lynx rufus*,61384,5.80,13.30,9.55,https://www.gbif.org/,54.72,https://a-z-animals.com/,Digitigrade,carnivore
Caracal caracal,61394,5.80,22.00,13.90,Mammals Species,80.47,https://a-z-animals.com/,Digitigrade,carnivore
Leptailurus serval,61405,9.00,18.00,13.50,ADW,64.37,https://a-z-animals.com/,Digitigrade,carnivore
Neofelis nebulosa,61452,11.00,23.00,17.00,ADW,64.37,https://a-z-animals.com/,Digitigrade,carnivore
Echymipera rufescens,65611,0.50,2.23,1.36,ADW,,,Plantigrade,omnivore
Isoodon obesulus,65612,,,0.72,Garland_1988_Comparative locomotor performance of marsupial,14.30,Garland_1988_Comparative locomotor performance of marsupial,Plantigrade,omnivore
Tragelaphus scriptus,66440,24.00,80.00,52.00,https://www.gbif.org/,,,Ungulates,herbivore
Oreotragus oreotragus,66444,8.00,18.00,13.00,ADW,,,Ungulates,herbivore
Speothos venaticus,68741,4.00,7.00,5.50,Mammals Species,,,Digitigrade,carnivore
Eudorcas thomsonii,69308,15.00,35.00,25.00,ADW,65.00,Hirt_2017_a general scaling law,Ungulates,herbivore
Tupaia tana,70687,0.20,0.30,0.25,https://www.gbif.org/,,,Plantigrade,carnivore
